MouseID,Generation,SurvDays,Y1A_BW_BW,Y2A_BW_BW,Y3A_BW_BW,Y1_Glu.F_Glucose,Y2_Glu.F_Glucose,Y3_Glu.F_Glucose,Y1_Echo_BPM,Y2_Echo_BPM,Y3_Echo_BPM,Y1_Echo_CardiacOutput,Y2_Echo_CardiacOutput,Y3_Echo_CardiacOutput,Y1_CBC_Hgb,Y2_CBC_Hgb,Y3_CBC_Hgb,Y1_Rotarod_Mean,Y2_Rotarod_Mean,Y3_Rotarod_Mean,Y1_AS_MeanLog,Y2_AS_MeanLog,Y3_AS_MeanLog,Y1_Wheel_AvgSpeedLFC,Y2_Wheel_AvgSpeedLFC,Y3_Wheel_AvgSpeedLFC,Y1_Wheel_AvgDistLFC,Y2_Wheel_AvgDistLFC,Y3_Wheel_AvgDistLFC,Y1A_Grip_All,Y2A_Grip_All,Y3A_Grip_All,Y1A_Frailty_FrailtyAdj,Y2A_Frailty_FrailtyAdj,Y3A_Frailty_FrailtyAdj,Diet_num,Diet
DO-40-2141,27,1445,27.92720004348628,27.276849035920097,24.18224958868677,149.81415546674617,92.0113940158272,75.42871245471717,452.33016958973474,459.8425073582512,415.11097144738346,23088.37841570987,18212.192470333677,18305.05363167404,16.433555749544386,16.77319064497592,15.766673915810028,148.88587343173734,161.43614839554172,227.9408804055791,1.7114119994129475,1.5976502252588338,1.3258320107877923,-0.064113251728374,0.0027299199073386,-0.3421525779508749,-0.1180858100014127,-0.0803022463346421,-0.8352425612125169,140.1679741195097,192.05572655288063,173.22215729051075,0.1083638671631532,0.2326128823653641,0.2438780944606366,1,40
DO-40-2153,27,1406,28.869249884565555,24.94347253884082,25.87157168828283,122.26463473240986,148.515785248807,99.10553334169876,462.5911670371372,358.0559338536477,457.5985689307637,17825.633680221985,15747.37264602573,22746.972926064325,17.47205336729347,17.051322414710057,15.13384630636805,247.97214832352049,36.91746032287813,124.52760123874786,1.5442696698237288,1.4400639885127615,1.5197571821622673,0.944978845900918,0.0929984891089539,-0.1212966535619344,3.084127116657372,0.3515248019244178,-0.401147089966939,158.72187580938527,202.29935676651783,129.39792150561183,0.1402275014115452,0.2255909680086026,0.2531173430927784,1,40
DO-40-2107,26,1504,27.188192776645327,25.231326733811365,24.0314133481402,97.11344793738468,76.24159885909835,64.76637560060124,430.7010392703793,437.01652052164064,406.8008418687666,16360.166511266478,12876.393497699475,15140.175552093382,16.52731436458348,16.72348117904144,15.647204315228349,102.85383984813303,68.16688505957346,72.66582624802643,1.158744313548559,1.249109005462191,1.2802309962277667,0.077220308530194,-0.0181116420998239,0.1657317828814178,1.588024368789463,0.8655262589126339,1.6247153164592478,168.54197056364475,147.74520890425885,101.23808211189883,0.1566660087430529,0.1558218669860551,0.2310000225601101,1,40
DO-40-2118,26,1477,36.05873631772383,37.2700757699305,29.312844689269536,154.81406464645534,102.30269445200476,67.8810613533445,506.0979978213831,576.638415134385,507.3303686030287,16712.452851682796,26172.088868906627,21142.71996201607,15.974368703374882,15.70382423395581,14.55910150607479,50.38418195725552,87.37710600973887,184.8817144579296,1.305679601639647,1.378935550275652,1.2425607014868914,-0.2482349271838851,0.0328858251047592,-0.0932615194698366,0.748686117215819,0.1628936360450142,0.2414560586624648,181.2052947681593,169.6555184336997,173.2097222734031,0.0758955902687083,0.2155479177207327,0.2860209786468192,1,40
DO-40-2115,26,1465,26.111026774501507,24.49406171770218,20.74818105851001,152.89156371344893,82.11643465543749,55.38480528880287,478.3156569987919,493.39681079784816,455.12449216263855,16386.20714709385,20767.28419711296,16303.702068632678,17.712765045860323,17.52140953761173,16.557966432780788,114.9447895369097,179.07602208526538,249.4423220375838,1.3790574555298782,1.495534217512736,1.0018393256338591,0.7674622588661614,0.2495435343053971,0.9448507127828578,1.807951565383632,2.60466549100164,3.152223443425993,160.65579476815924,138.97951843369972,111.85822227340304,0.2505464231838044,0.1814858773968809,0.2329850407557902,1,40
DO-40-2164,28,1301,31.842716162909365,28.90705069404321,23.579201361292487,207.97011022365595,86.51024443132,86.97558419939887,458.24412960827016,470.2481340033125,459.40943147995097,14313.029934718254,18266.31454348473,13249.746648980616,16.724270821691984,15.848669313739336,15.477947482746549,122.46535376924064,180.8866956571433,166.93713087520084,,1.4934629628098024,1.290029038579655,0.4485607487009533,1.434635229575472,0.8024927990375668,1.239253853644057,4.572306954479768,3.3395722263607244,125.4031685597894,113.88844463554452,151.26561549932802,0.1277346144483892,0.1525896697382985,0.1975343093237116,1,40
DO-40-2192,28,1280,41.36284853151882,30.344893670629684,28.07538743561353,221.94973826481808,78.63013742688939,52.88516338287287,516.2364329126661,502.54080356115776,478.06031726809806,19448.271489940995,17578.397393041225,19720.407868829006,16.71701668418638,16.63516736008414,16.57953027918689,149.6106404476509,267.3687684521257,282.0247679002345,1.6012621782464835,1.5114411166514152,1.2782912499397745,-0.056218923489881,-0.1396409525671252,-0.2000458175719356,0.7820819465474989,-0.3550914358822548,-1.02038389581652,204.9460434200618,139.45085811694472,139.7387225646748,0.1523375097805759,0.2017230734857963,0.2431281814050758,1,40
DO-20-1152,27,1354,28.904726270674697,35.153449381036026,27.233498031548528,144.83866333227058,77.05132242754122,83.72552587764751,502.87490337874704,460.5766195176647,409.8689318769807,15536.537590551974,12646.706544232677,14306.33998454998,15.7748838516437,14.304162752541648,12.14802679049896,81.84648432635898,178.82716966753762,233.0808352222371,1.7425144827596604,1.7179520147990133,1.287734524199076,0.1190431989496124,0.5032939163828936,-0.2448578110377349,1.320467736050976,0.8208525861440111,0.8049729106561005,126.85487580938526,203.19285676651788,135.6524215056118,0.1256426372171119,0.1997790706712915,0.2369488637035464,2,20
DO-20-1151,27,1352,24.92851326188737,32.43421186586861,28.678764661118468,195.78493805694035,78.97382336054763,94.29928100918276,456.4620822148727,464.7110159040307,461.50836726556815,14129.815298659412,14911.686251941315,18386.350379592077,16.340320309283292,16.031594990533147,17.160081344320304,120.1257826257999,154.54552522386237,151.95157613983991,1.3189728919602102,1.3011913679048162,1.0850441611866255,-0.4247906552952555,0.1604846870280836,0.3395141296024405,0.3401352916671996,1.281475481887682,1.2684776507616522,164.67837580938527,176.0913567665179,194.32292150561184,0.0876948420827577,0.1997790706712915,0.2179749661363692,2,20
DO-20-1186,28,1266,24.495609331666945,31.59823923979497,31.386018529222422,137.97384116814243,120.9251579530303,119.21144557159384,532.4893754191086,613.2391549032419,560.574939618198,18748.2738061464,14178.978816490117,14030.577491403288,17.254465343866162,16.48943277853472,14.998427944868451,132.36705345816267,82.85129476093064,43.77898594699746,1.7707042261608972,1.7342184714758333,1.1348776624065446,0.0481711003077976,0.1405906865374559,0.3657553128918314,-0.2875428348172482,1.053019152331831,1.9954763862740184,153.42304342006184,172.80685811694468,131.6972225646748,0.2591809512850583,0.2317816468101697,0.2540069789521674,2,20
